transaction_id,customer_id,amount_ngn,channel,location_state,location_lga,device_fingerprint,timestamp,hour_of_day,day_of_week,is_fraud
458237d5-62ce-446d-a796-329f3483f201,CUS-00104,92608.77,mobile_money,Kogi,Kogi-Central,a3a1376fb84af329,2025-01-01 00:00:23,0,2,False
fe3192ec-350d-48c9-81c7-2b6260f4a769,CUS-01983,1013.05,pos,Abuja FCT,Kuje,8d6ee04ebc70075d,2025-01-01 00:05:55,0,2,False
166cd370-3fba-4ca3-9443-3760d3efa1f7,CUS-00012,63922.41,ussd,Bauchi,Bauchi-Central,e79bb123ff92969b,2025-01-01 00:34:39,0,2,False
581f8779-8a90-4bfe-ac91-33d388cdc3f8,CUS-01469,2198.11,pos,Abia,Abia-Central,b7d959007e88c959,2025-01-01 01:36:48,1,2,False
7d92351f-3046-45cc-9740-01eaa9056eab,CUS-00601,227056.28,bank_transfer,Kano,Kumbotso,dc250b6d8147d297,2025-01-01 03:01:00,3,2,True
65293990-3afb-4826-bcd4-81413dd1b1f5,CUS-01567,3079.17,mobile_money,Lagos,Ikeja,30c29ebcbd60bd63,2025-01-01 04:34:35,4,2,False
32ff9afd-ffd1-4fd6-ac0d-22432be659b2,CUS-00799,3006.91,pos,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 06:38:00,6,2,True
077737f5-0303-4fe6-8231-6069a1311ea5,CUS-00799,1833.46,bank_transfer,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 06:51:00,6,2,True
51fb0354-aa76-40f7-9ff2-039dc1c3c41b,CUS-01445,88624.63,pos,Kaduna,Zaria,dd998a910227d567,2025-01-01 07:00:00,7,2,True
9ecd984f-f632-4f37-95fb-188411fda0ec,CUS-00758,160.13,mobile_money,Nassarawa,Nassarawa-Central,939287cb470a4cbe,2025-01-01 07:00:01,7,2,False
19b4966b-fb6b-4fff-9a24-7e9546a7715a,CUS-01445,23873.4,mobile_money,Cross River,Cross River-Central,dd998a910227d567,2025-01-01 07:08:00,7,2,True
6a64dc0c-9724-4f38-a80b-316cb4e485f4,CUS-00799,364.33,pos,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 07:29:00,7,2,True
64608ef0-0bdb-4407-a7bd-006aea6db8b6,CUS-00984,78.46,bank_transfer,Ondo,Ondo-Central,1f37995146c627bd,2025-01-01 07:43:34,7,2,False
fb6d028b-9fb4-4332-bb3c-af469ebd3b77,CUS-00120,964923.01,pos,Benue,Benue-Central,2aa8167840b42b5e,2025-01-01 09:00:47,9,2,False
48052e47-b547-4292-a4de-4442ce137bf5,CUS-00210,503.35,pos,Oyo,Ogbomoso,e7a908e94677ed3e,2025-01-01 09:05:23,9,2,False
5f0b82af-82d3-4473-8516-2c1f40c2eac8,CUS-01125,24353.91,bank_transfer,Oyo,Oyo East,b63037c4f1608ebc,2025-01-01 09:09:21,9,2,False
236066ad-9a59-45df-b1a0-30471b9d4030,CUS-00425,1122.27,pos,Oyo,Oyo East,ef34cae7e42e4b03,2025-01-01 09:14:03,9,2,False
d4613df4-b29d-42ec-8072-16ee4becad92,CUS-00698,398.56,pos,Lagos,Oshodi-Isolo,5f2762a71ad1b9a9,2025-01-01 09:22:00,9,2,True
781adce4-7962-4e3c-8fe6-6b3cb544979d,CUS-00545,70217.06,bank_transfer,Kano,Kumbotso,816780c3a970fd43,2025-01-01 09:25:14,9,2,False
ec28fdea-2e68-4210-aa59-c2ba4e8df1ee,CUS-01487,2918.72,pos,Edo,Oredo,8b29f537a5dc9bb1,2025-01-01 09:31:08,9,2,False
e6e1b134-dcd6-4625-bb84-44f270292184,CUS-00851,1453.51,pos,Osun,Osun-Central,a241b39179d8b34d,2025-01-01 09:34:40,9,2,False
a15e0595-2638-4d36-bd15-0f757f523773,CUS-00226,39596.76,pos,Bayelsa,Bayelsa-Central,f990c65a3cd2c255,2025-01-01 09:37:35,9,2,False
08bb293a-c898-404e-aff6-c2cf0048b70f,CUS-01144,1352.83,pos,Kano,Nassarawa,79f2ca9dea7f4c82,2025-01-01 09:38:56,9,2,False
3207344b-93d9-46ea-8e78-6aed567f6c6a,CUS-01421,8650.44,bank_transfer,Abuja FCT,Bwari,41a21affe763edbe,2025-01-01 09:50:04,9,2,False
298d8a4d-04a6-4ed5-b222-524b9363b43d,CUS-01073,471907.61,bank_transfer,Lagos,Kosofe,0039a2ddd25b4ccb,2025-01-01 10:00:00,10,2,True
d9e77b76-7e7c-472b-aab5-e51ef9b0ee9d,CUS-00592,4636.02,bank_transfer,Lagos,Eti-Osa,739ccc5da6223c73,2025-01-01 10:03:51,10,2,False
544a19c9-a1d4-4fe7-b448-49656ced5a36,CUS-00799,37417.24,pos,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 10:21:00,10,2,True
f9819d37-9694-4792-bd0c-f99486c9eb6a,CUS-01074,530104.96,bank_transfer,Ogun,Ogun-Central,116b5e1551705cfb,2025-01-01 10:29:34,10,2,False
5a604b08-ac5b-433d-8ce6-08a26cc272d9,CUS-00698,228.25,pos,Lagos,Oshodi-Isolo,5f2762a71ad1b9a9,2025-01-01 10:31:00,10,2,True
eee34ee2-ad58-46ba-a7bd-18717d183b5d,CUS-01685,2899.91,bank_transfer,Sokoto,Sokoto-Central,445899ed480707b4,2025-01-01 10:32:15,10,2,False
4a34fc43-2144-4573-94db-c0253f447aa7,CUS-00574,4621.43,pos,Sokoto,Sokoto-Central,14aafd8c2d7338af,2025-01-01 10:35:49,10,2,False
1ae96d02-1360-4285-8bf5-07b31f60a422,CUS-00017,46346.92,bank_transfer,Oyo,Oyo East,833d9617ecfe7a5b,2025-01-01 10:38:09,10,2,False
ecfd30f2-7543-4a08-8894-cc67196eb1f8,CUS-01355,464802.4,pos,Kebbi,Kebbi-Central,1a13698cf4c1d9c1,2025-01-01 10:42:57,10,2,False
795233c0-40cc-4370-aca5-d3a27ffe3770,CUS-00698,3592.23,ussd,Lagos,Alimosho,5f2762a71ad1b9a9,2025-01-01 10:44:00,10,2,True
9e9cce18-063a-41ea-b514-1eadd14b7581,CUS-00799,67777.44,pos,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 10:51:00,10,2,True
c350f521-6764-4593-92b5-6ecb837506a6,CUS-00799,1602.12,ussd,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 11:00:00,11,2,True
2234a4ea-4135-494d-a3b8-473dcbee7688,CUS-01766,2681.79,mobile_money,Osun,Osun-Central,95b4edf9a9a1eb6f,2025-01-01 11:05:30,11,2,False
b500759d-4a20-4d43-be15-17825ffbc329,CUS-00646,33386.52,card,Kaduna,Zaria,2b7015d78d5d685e,2025-01-01 11:07:20,11,2,False
9b168a98-5d2a-49da-9dea-3199143c739c,CUS-00327,2522.37,mobile_money,Kaduna,Zaria,83677903174a360f,2025-01-01 11:09:18,11,2,False
c1c365d9-2859-443a-8c58-1f0fc3e4df73,CUS-01523,2002.19,bank_transfer,Lagos,Ikorodu,b4e06f3228683e87,2025-01-01 11:13:30,11,2,False
085db661-fc35-4fd0-935f-551a40532cd9,CUS-01272,3545.26,mobile_money,Abia,Abia-Central,06bad31df90a1a67,2025-01-01 11:16:40,11,2,False
f80cdf9d-2b55-4540-98bc-8076c7697a74,CUS-00185,75887.4,ussd,Delta,Oshimili South,d898e5104d1303b0,2025-01-01 11:19:27,11,2,False
5e471090-8950-4625-80cc-fa89aabf79d2,CUS-00499,383.37,bank_transfer,Ogun,Ogun-Central,24073aefc48b8a94,2025-01-01 11:22:12,11,2,False
b163ccf0-b26a-4346-9138-dc31de1459fe,CUS-00799,77665.97,bank_transfer,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 11:28:00,11,2,True
9add47ae-f689-4725-af70-cc77f5161776,CUS-00701,558889.89,card,Lagos,Mushin,103556a324a9a49d,2025-01-01 11:44:07,11,2,False
c8897c25-1269-4bde-924e-733bc57e3801,CUS-00798,2232.95,card,Edo,Oredo,02fa2266d8d33c7a,2025-01-01 11:50:41,11,2,False
1be77fc8-023d-4fad-bb5f-974bd747f39f,CUS-00403,78458.98,pos,Plateau,Plateau-Central,4cc2a310dd5e1b80,2025-01-01 11:56:03,11,2,False
ae1f4de4-0edd-4114-832b-199ee229d04f,CUS-00995,1068.23,ussd,Lagos,Ikorodu,5fae574986916801,2025-01-01 12:10:19,12,2,False
1a5b697e-87c2-47a8-8d6f-2b30736cdb8e,CUS-00981,2787.95,pos,Abia,Abia-Central,1c34e83bf8e6a0ff,2025-01-01 12:13:00,12,2,False
03ec71fb-29d1-4caa-9a87-994d6d557278,CUS-00915,93779.43,pos,Rivers,Obio-Akpor,2c879017be169f9f,2025-01-01 12:23:17,12,2,False
e210bd69-027e-4439-9891-bdd8647552b0,CUS-00799,3629.82,bank_transfer,Adamawa,Adamawa-Central,9770e4eba99b57b6,2025-01-01 12:24:00,12,2,True
a78663fe-4286-4238-b47d-c6ba5c9579da,CUS-01088,4901.71,bank_transfer,Ogun,Ogun-Central,2fe4c08d1ce58296,2025-01-01 12:25:11,12,2,False
f0fcd474-e14f-458a-81aa-6c566622a665,CUS-00918,67728.83,bank_transfer,Kwara,Kwara-Central,402f6978085be2fa,2025-01-01 12:29:29,12,2,False
847fcf09-e4c5-421c-894f-2deeb1411b20,CUS-00828,2377.72,bank_transfer,Osun,Osun-Central,9a1f4e8803f68e25,2025-01-01 12:30:19,12,2,False
5bd9b43e-3dff-4824-8b2e-ee5646c95dd7,CUS-01493,16368.67,ussd,Lagos,Kosofe,a9e1d473406f0c83,2025-01-01 12:31:01,12,2,False
54c1bfb1-b79e-467b-a69b-40f84b9d0b91,CUS-01520,1885.65,pos,Lagos,Ikeja,169f145f9407934a,2025-01-01 12:36:58,12,2,False
433e6b9e-6d73-4ab2-89c6-620c6b058675,CUS-00883,4894.59,pos,Lagos,Eti-Osa,dfb09978915770b7,2025-01-01 12:44:46,12,2,False
5b5722d5-2d54-4040-a9b5-e26c33a60a10,CUS-01433,3431.57,bank_transfer,Delta,Uvwie,2966b413eb51f515,2025-01-01 12:53:49,12,2,False
5d3a522a-4b0a-43b6-88b2-35f549f770c9,CUS-01403,95966.54,bank_transfer,Osun,Osun-Central,6666f1a1cebc0728,2025-01-01 13:00:03,13,2,False
c8b0cdaf-fe70-4782-a60b-81572d8d32c3,CUS-00314,31212.66,card,Bauchi,Bauchi-Central,eb5cac83407b81c2,2025-01-01 13:00:26,13,2,False
69fe3dca-b8c3-49e8-a723-0803d6a4c08c,CUS-00698,120.32,pos,Lagos,Surulere,5f2762a71ad1b9a9,2025-01-01 13:05:00,13,2,True
c9de72ec-437e-48c3-8fa6-68ca344add0a,CUS-01575,2691.01,pos,Lagos,Eti-Osa,fd0c05be28efe48d,2025-01-01 13:07:51,13,2,False
1ba794b7-4e38-412d-bfab-5b8ff4e97c9e,CUS-01391,10572.36,ussd,Lagos,Surulere,70e5fcb5aea0673c,2025-01-01 13:08:38,13,2,False
b3835e3e-ffc5-4b9c-832d-5731e7d75c31,CUS-01508,264.41,bank_transfer,Kaduna,Zaria,c90ecdd6d89b7004,2025-01-01 13:13:06,13,2,False
9722645e-1f9e-48e9-bd0c-5107dc650657,CUS-00918,3157.9,pos,Kwara,Kwara-Central,402f6978085be2fa,2025-01-01 13:15:47,13,2,False
e15081c9-da31-449a-949f-f8253a417088,CUS-01542,3758.57,pos,Oyo,Oyo East,61dbec9de8a78651,2025-01-01 13:20:26,13,2,False
6d7aa679-7872-4652-9ff9-8d8187cdb4db,CUS-00416,12721.82,pos,Kano,Kumbotso,b2132b1f6b86d86e,2025-01-01 13:20:55,13,2,False
76175a2c-c894-49be-879e-011030fb9ce1,CUS-01761,294141.23,mobile_money,Borno,Borno-Central,dc00833fab7bb6be,2025-01-01 13:31:58,13,2,False
5f9d5097-cc9e-4124-8366-5dd8a413b8a0,CUS-01827,211.44,bank_transfer,Akwa Ibom,Akwa Ibom-Central,5b30437f9804c74d,2025-01-01 13:37:18,13,2,False
d42ff655-f7c4-465d-96dd-492f305d3a09,CUS-00102,475.67,pos,Kano,Kumbotso,71b4ba50e7dc8dfa,2025-01-01 13:41:06,13,2,False
415e8cf2-0aa1-47d1-aafb-73e56a56fb93,CUS-01941,1067.72,pos,Kano,Nassarawa,9dbbf7c1e6ccee2c,2025-01-01 13:42:02,13,2,False
2225ddb3-c84d-4a17-8fc7-90a473468c09,CUS-00698,258.86,mobile_money,Lagos,Alimosho,5f2762a71ad1b9a9,2025-01-01 13:44:00,13,2,True
